Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition,Price per m²,Region
9333,20135745,8300,999999,apartment,2.0,118.0,0,0,1,,,0,As new,8474.56779661017,Flanders
1737,20206578,4140,999999,house,13.0,778.0,1,0,1,443.0,,0,Good,1285.3457583547558,Wallonia
7967,20135600,8300,999999,apartment,2.0,118.0,0,0,1,,,0,As new,8474.56779661017,Flanders
2563,20234889,1851,999000,house,4.0,345.0,1,1,1,15.0,,0,Good,2895.6521739130435,Flanders
5435,20215434,1160,997000,apartment,3.0,144.0,0,0,1,43.0,,0,As new,6923.611111111111,Brussels
1004,20226523,8420,995000,house,4.0,568.0,0,0,1,,,0,Good,1751.7605633802816,Flanders
2136,20207321,1150,995000,house,5.0,339.0,0,0,1,,,0,As new,2935.103244837758,Brussels
6077,20238340,1040,995000,apartment,3.0,220.0,0,0,1,25.0,,0,As new,4522.727272727273,Brussels
2747,20161968,2000,995000,house,5.0,398.0,1,0,1,13.0,78.0,0,Good,2500.0,Flanders
8480,10626636,8301,995000,apartment,3.0,100.0,0,0,1,,,0,As new,9950.0,Flanders
8479,20007558,8300,995000,apartment,2.0,67.0,0,0,1,,,0,Good,14850.746268656716,Flanders
8655,11040394,1150,995000,apartment,3.0,185.0,0,0,1,14.0,82.0,0,As new,5378.378378378378,Brussels
200,20144173,1180,995000,house,6.0,294.0,1,0,1,120.0,240.0,0,Good,3384.3537414965986,Brussels
3878,10803929,8500,995000,house,3.0,260.0,0,0,1,40.0,,0,As new,3826.923076923077,Flanders
1826,20237694,9000,995000,house,4.0,403.0,0,0,1,,,0,As new,2468.982630272953,Flanders
1175,20221420,1160,995000,house,5.0,265.0,0,0,1,,500.0,0,To be done up,3754.7169811320755,Brussels
6640,20168762,1180,995000,apartment,5.0,400.0,1,0,1,88.0,370.0,0,To be done up,2487.5,Brussels
931,20246669,1200,995000,house,5.0,298.0,0,0,1,7.0,45.0,0,As new,3338.9261744966443,Brussels
2704,11434981,1950,995000,house,4.0,243.0,0,0,1,24.0,500.0,0,As new,4094.650205761317,Flanders
785,20246454,3910,995000,house,4.0,454.0,0,0,1,,,0,As new,2191.6299559471368,Flanders
227,20227443,8420,995000,house,4.0,568.0,0,0,1,,,0,Good,1751.7605633802816,Flanders
4563,20217685,2970,995000,house,4.0,508.0,0,0,1,70.0,2160.0,0,Good,1958.6614173228347,Flanders
2688,20168763,1180,995000,house,5.0,400.0,1,0,1,88.0,370.0,0,To be done up,2487.5,Brussels
548,20214988,9270,995000,house,5.0,425.0,1,0,1,,,0,To be done up,2341.176470588235,Flanders
7311,11272201,1040,995000,apartment,3.0,220.0,0,0,1,25.0,,0,Just renovated,4522.727272727273,Brussels
2662,20217961,3700,995000,house,5.0,713.0,0,0,1,,,0,As new,1395.5119214586255,Flanders
1320,20240751,8000,995000,house,4.0,282.0,1,0,1,,,0,As new,3528.368794326241,Flanders
1922,20214311,8730,995000,house,4.0,300.0,0,0,1,,,0,Good,3316.6666666666665,Flanders
2473,20232438,3140,995000,house,8.0,470.0,0,0,1,,,0,As new,2117.021276595745,Flanders
773,20211059,9080,995000,house,3.0,441.0,0,0,1,,,1,As new,2256.235827664399,Flanders
1957,20240938,2360,995000,house,4.0,425.0,0,0,1,,,0,As new,2341.176470588235,Flanders
5124,20190523,3212,995000,house,4.0,294.0,0,0,1,,,0,As new,3384.3537414965986,Flanders
5057,20195188,3210,995000,house,4.0,294.0,0,0,1,,,0,As new,3384.3537414965986,Flanders
137,20246412,1200,995000,house,4.0,221.0,0,0,1,7.0,45.0,0,As new,4502.262443438914,Brussels
3386,20235171,1180,995000,house,6.0,268.0,1,0,1,100.0,234.0,0,Good,3712.686567164179,Brussels
4594,20221485,1150,995000,house,5.0,265.0,1,0,1,16.0,450.0,0,To renovate,3754.7169811320755,Brussels
8128,20030690,8300,995000,apartment,2.0,89.0,0,0,1,,,0,Just renovated,11179.775280898877,Flanders
9190,20022851,1150,995000,apartment,3.0,184.0,0,0,1,5.0,96.0,0,As new,5407.608695652174,Brussels
8141,11484997,8300,995000,apartment,2.0,68.0,0,1,1,,,0,Just renovated,14632.35294117647,Flanders
6788,11085578,8300,995000,apartment,2.0,70.0,0,1,1,,,0,Good,14214.285714285714,Flanders
6789,11275857,8300,995000,apartment,3.0,103.0,0,0,1,,,0,As new,9660.194174757282,Flanders
8127,11468221,8300,995000,apartment,2.0,70.0,0,0,1,50.0,,0,Just renovated,14214.285714285714,Flanders
3491,20164224,8800,995000,house,5.0,550.0,0,0,1,,,0,Good,1809.090909090909,Flanders
8997,20140686,1180,995000,apartment,5.0,288.0,0,0,1,65.0,,0,As new,3454.8611111111113,Brussels
6444,11040240,8300,995000,apartment,2.0,70.0,0,1,1,50.0,,0,Just renovated,14214.285714285714,Flanders
4094,10462599,1150,995000,house,4.0,220.0,1,0,1,15.0,145.0,0,As new,4522.727272727273,Brussels
4095,20006476,3910,995000,house,5.0,725.0,0,0,1,,,1,Good,1372.4137931034484,Flanders
4096,20020854,9860,995000,house,4.0,360.0,0,0,1,,,0,Just renovated,2763.8888888888887,Flanders
7377,20221119,8300,995000,apartment,3.0,90.0,0,0,1,,,0,As new,11055.555555555555,Flanders
4093,11397487,1380,990000,house,3.0,256.0,0,0,1,50.0,1100.0,1,As new,3867.1875,Wallonia
725,20189412,1180,990000,house,4.0,259.0,1,0,1,20.0,150.0,0,As new,3822.3938223938226,Brussels
6787,20149743,1180,990000,apartment,5.0,223.0,0,0,1,75.0,,0,To renovate,4439.461883408072,Brussels
1548,20231363,7322,990000,house,5.0,436.0,0,1,1,,3600.0,1,As new,2270.6422018348626,Wallonia
3677,11452561,1150,990000,house,7.0,305.0,1,0,1,,1.0,0,To renovate,3245.901639344262,Brussels
1735,20197911,1950,990000,house,3.0,321.0,1,0,1,20.0,700.0,0,To be done up,3084.11214953271,Flanders
628,20233589,1020,990000,house,4.0,470.0,0,0,1,,,0,Good,2106.3829787234044,Brussels
8654,11219361,1180,990000,apartment,3.0,247.0,0,0,1,31.0,,0,As new,4008.097165991903,Brussels
1767,20139673,2018,985000,house,5.0,415.0,0,0,1,,87.0,0,Good,2373.4939759036147,Flanders
2341,20215677,1160,985000,house,6.0,450.0,0,0,1,,90.0,0,Good,2188.8888888888887,Brussels
2082,20232817,1190,985000,house,4.0,303.0,0,0,1,8.0,55.0,0,As new,3250.825082508251,Brussels
