Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition,Price per m²,Region
5435,20215434,1160,997000,apartment,3.0,144.0,0,0,1,43.0,,0,As new,6923.611111111111,Brussels
2136,20207321,1150,995000,house,5.0,339.0,0,0,1,,,0,As new,2935.103244837758,Brussels
6077,20238340,1040,995000,apartment,3.0,220.0,0,0,1,25.0,,0,As new,4522.727272727273,Brussels
8655,11040394,1150,995000,apartment,3.0,185.0,0,0,1,14.0,82.0,0,As new,5378.378378378378,Brussels
200,20144173,1180,995000,house,6.0,294.0,1,0,1,120.0,240.0,0,Good,3384.3537414965986,Brussels
1175,20221420,1160,995000,house,5.0,265.0,0,0,1,,500.0,0,To be done up,3754.7169811320755,Brussels
6640,20168762,1180,995000,apartment,5.0,400.0,1,0,1,88.0,370.0,0,To be done up,2487.5,Brussels
931,20246669,1200,995000,house,5.0,298.0,0,0,1,7.0,45.0,0,As new,3338.9261744966443,Brussels
2688,20168763,1180,995000,house,5.0,400.0,1,0,1,88.0,370.0,0,To be done up,2487.5,Brussels
7311,11272201,1040,995000,apartment,3.0,220.0,0,0,1,25.0,,0,Just renovated,4522.727272727273,Brussels
137,20246412,1200,995000,house,4.0,221.0,0,0,1,7.0,45.0,0,As new,4502.262443438914,Brussels
3386,20235171,1180,995000,house,6.0,268.0,1,0,1,100.0,234.0,0,Good,3712.686567164179,Brussels
4594,20221485,1150,995000,house,5.0,265.0,1,0,1,16.0,450.0,0,To renovate,3754.7169811320755,Brussels
9190,20022851,1150,995000,apartment,3.0,184.0,0,0,1,5.0,96.0,0,As new,5407.608695652174,Brussels
8997,20140686,1180,995000,apartment,5.0,288.0,0,0,1,65.0,,0,As new,3454.8611111111113,Brussels
4094,10462599,1150,995000,house,4.0,220.0,1,0,1,15.0,145.0,0,As new,4522.727272727273,Brussels
725,20189412,1180,990000,house,4.0,259.0,1,0,1,20.0,150.0,0,As new,3822.3938223938226,Brussels
6787,20149743,1180,990000,apartment,5.0,223.0,0,0,1,75.0,,0,To renovate,4439.461883408072,Brussels
3677,11452561,1150,990000,house,7.0,305.0,1,0,1,,1.0,0,To renovate,3245.901639344262,Brussels
628,20233589,1020,990000,house,4.0,470.0,0,0,1,,,0,Good,2106.3829787234044,Brussels
8654,11219361,1180,990000,apartment,3.0,247.0,0,0,1,31.0,,0,As new,4008.097165991903,Brussels
2341,20215677,1160,985000,house,6.0,450.0,0,0,1,,90.0,0,Good,2188.8888888888887,Brussels
2082,20232817,1190,985000,house,4.0,303.0,0,0,1,8.0,55.0,0,As new,3250.825082508251,Brussels
10025,20214083,1050,980000,apartment,3.0,206.0,0,0,1,,,1,Good,4757.281553398058,Brussels
7702,20150529,1180,980000,apartment,2.0,140.0,0,0,1,30.0,,0,As new,7000.0,Brussels
9189,11396725,1050,980000,apartment,2.0,141.0,0,0,1,3.0,,0,As new,6950.354609929078,Brussels
9480,20022853,1180,980000,apartment,2.0,140.0,0,0,1,30.0,,0,As new,7000.0,Brussels
10217,20081859,1050,980000,apartment,4.0,270.0,1,0,1,4.0,,0,To renovate,3629.6296296296296,Brussels
8125,20120307,1000,980000,apartment,4.0,307.0,0,0,1,10.0,,0,To renovate,3192.182410423453,Brussels
8126,20120273,1050,980000,apartment,4.0,307.0,0,0,1,10.0,,0,To renovate,3192.182410423453,Brussels
7820,20226905,1050,975000,apartment,3.0,204.0,0,0,1,25.0,,0,As new,4779.411764705882,Brussels
7819,20226904,1000,975000,apartment,3.0,204.0,0,0,1,25.0,,0,As new,4779.411764705882,Brussels
583,20231229,1150,965000,house,6.0,225.0,0,0,1,30.0,250.0,0,Good,4288.888888888889,Brussels
394,20193110,1050,955000,house,5.0,395.0,0,0,1,,100.0,0,To renovate,2417.721518987342,Brussels
5381,20233310,1050,950000,apartment,3.0,223.0,0,0,1,13.0,,0,As new,4260.089686098655,Brussels
229,20229362,1180,950000,house,4.0,193.0,1,0,1,1.0,150.0,0,As new,4922.279792746114,Brussels
1536,20234548,1150,950000,house,5.0,271.0,1,0,1,25.0,,0,Good,3505.5350553505536,Brussels
4091,10799372,1160,945000,house,5.0,251.0,0,0,1,15.0,62.0,0,As new,3764.9402390438245,Brussels
5831,20242087,1000,945000,apartment,3.0,280.0,0,0,1,,,0,Good,3375.0,Brussels
1031,20233648,1200,945000,house,5.0,370.0,0,0,1,20.0,110.0,0,Good,2554.054054054054,Brussels
3876,11381944,1150,945000,house,5.0,245.0,0,0,1,7.0,150.0,0,As new,3857.1428571428573,Brussels
1507,20234837,1200,945000,house,5.0,328.0,0,0,1,20.0,60.0,0,Good,2881.0975609756097,Brussels
6091,20244142,1160,930700,apartment,4.0,153.0,0,0,1,28.0,,0,As new,6083.006535947712,Brussels
349,20231776,1050,930000,house,4.0,230.0,0,0,1,20.0,150.0,0,As new,4043.478260869565,Brussels
6227,20189683,1000,925000,apartment,3.0,207.0,1,0,1,1.0,,0,Good,4468.599033816425,Brussels
1836,20200790,1180,920000,house,5.0,325.0,1,0,1,,,0,Good,2830.769230769231,Brussels
804,20246640,1180,900000,house,4.0,230.0,0,0,1,50.0,262.0,0,Good,3913.0434782608695,Brussels
3887,10687336,1020,900000,house,9.0,285.0,0,0,1,18.0,105.0,0,As new,3157.8947368421054,Brussels
3582,11021515,1070,900000,house,9.0,270.0,0,0,1,30.0,60.0,0,Just renovated,3333.3333333333335,Brussels
6744,20196350,1060,899000,apartment,4.0,197.0,0,0,1,41.0,,0,Just renovated,4563.4517766497465,Brussels
6617,20136766,1060,899000,apartment,4.0,200.0,0,0,1,,,0,As new,4495.0,Brussels
1394,20186206,1170,895000,house,3.0,156.0,0,0,1,42.0,350.0,0,Good,5737.179487179487,Brussels
10418,10749881,1200,895000,apartment,3.0,220.0,0,0,1,,,0,Good,4068.181818181818,Brussels
2790,20146405,1090,895000,house,5.0,350.0,1,0,1,40.0,300.0,0,Good,2557.1428571428573,Brussels
5343,20120471,1060,895000,apartment,3.0,250.0,0,0,1,,380.0,0,As new,3580.0,Brussels
8652,11401961,1200,895000,apartment,3.0,220.0,0,0,1,8.0,,0,As new,4068.181818181818,Brussels
1682,20218455,1150,895000,house,4.0,200.0,0,0,1,20.0,150.0,0,As new,4475.0,Brussels
1190,20233588,1090,895000,house,5.0,350.0,0,0,1,,300.0,0,To be done up,2557.1428571428573,Brussels
7310,10430545,1200,895000,apartment,3.0,150.0,0,1,1,175.0,,0,As new,5966.666666666667,Brussels
10214,10442146,1200,895000,apartment,3.0,205.0,0,0,1,200.0,,0,As new,4365.8536585365855,Brussels
55,20233552,1000,895000,house,5.0,350.0,0,0,1,,300.0,0,To be done up,2557.1428571428573,Brussels
354,20160820,1190,895000,house,4.0,230.0,0,0,1,,,0,As new,3891.304347826087,Brussels
2218,20230712,1190,895000,house,3.0,200.0,0,0,1,27.0,,0,As new,4475.0,Brussels
353,20160806,1050,895000,house,4.0,230.0,0,0,1,,,0,As new,3891.304347826087,Brussels
3152,20148164,1200,890000,house,4.0,286.0,0,0,1,,15.0,0,As new,3111.888111888112,Brussels
7954,20219568,1000,889000,apartment,3.0,315.0,0,0,1,32.0,,0,Good,2822.222222222222,Brussels
77,20234468,1150,875000,house,3.0,192.0,0,0,1,,85.0,0,Good,4557.291666666667,Brussels
2626,20233556,1070,875000,house,6.0,411.0,1,0,1,53.0,400.0,0,Good,2128.9537712895376,Brussels
5368,20238334,1200,875000,apartment,2.0,187.0,0,0,1,25.0,,0,Just renovated,4679.144385026738,Brussels
3969,20209694,1060,875000,house,7.0,420.0,1,0,1,15.0,,0,Good,2083.3333333333335,Brussels
966,20228784,1040,875000,house,4.0,233.0,0,0,1,21.0,,0,To be done up,3755.3648068669527,Brussels
967,20228776,1050,875000,house,4.0,233.0,0,0,1,21.0,,0,To be done up,3755.3648068669527,Brussels
9639,20052301,1180,860000,apartment,3.0,220.0,0,0,1,28.0,,0,As new,3909.090909090909,Brussels
7222,20192538,1050,850000,apartment,3.0,221.0,1,0,1,,,0,Good,3846.153846153846,Brussels
352,20135096,1180,850000,house,4.0,220.0,0,0,1,43.0,550.0,0,As new,3863.6363636363635,Brussels
6407,20162560,1150,850000,apartment,1.0,95.0,0,0,1,50.0,1000.0,0,As new,8947.368421052632,Brussels
1433,20135789,1200,850000,house,4.0,235.0,0,0,1,15.0,240.0,0,To be done up,3617.021276595745,Brussels
334,20233251,1030,850000,house,6.0,385.0,0,0,1,34.0,275.0,0,As new,2207.7922077922076,Brussels
1307,20244139,1083,850000,house,7.0,400.0,0,0,1,20.0,240.0,0,As new,2125.0,Brussels
335,20233258,1200,850000,house,6.0,385.0,0,0,1,34.0,275.0,0,As new,2207.7922077922076,Brussels
8476,20094886,1050,850000,apartment,3.0,227.0,0,0,1,25.0,,0,Good,3744.493392070485,Brussels
5997,20245730,1180,850000,apartment,2.0,143.0,0,0,1,20.0,30.0,0,As new,5944.055944055944,Brussels
784,20245251,1050,849000,house,6.0,200.0,1,1,1,,,0,Good,4245.0,Brussels
6824,11441791,1150,849000,apartment,4.0,212.0,0,0,1,10.0,,0,As new,4004.7169811320755,Brussels
2789,11471814,1150,845000,house,5.0,270.0,0,0,1,20.0,175.0,0,As new,3129.6296296296296,Brussels
10335,20160628,1050,845000,apartment,3.0,168.0,0,0,1,20.0,44.0,0,Just renovated,5029.761904761905,Brussels
6012,20174406,1200,840000,apartment,3.0,180.0,0,0,1,30.0,,0,As new,4666.666666666667,Brussels
6011,20174407,1150,840000,apartment,3.0,180.0,0,0,1,30.0,,0,As new,4666.666666666667,Brussels
6052,20219571,1000,840000,apartment,3.0,160.0,0,0,1,10.0,,0,As new,5250.0,Brussels
5855,20163882,1050,840000,apartment,3.0,173.0,0,0,1,39.0,,0,As new,4855.491329479769,Brussels
10102,20145321,1180,830000,apartment,3.0,217.0,0,0,1,5.0,,0,As new,3824.884792626728,Brussels
1432,20194768,1150,829000,house,5.0,170.0,0,0,1,15.0,140.0,0,As new,4876.470588235294,Brussels
5814,20212978,1180,820000,apartment,3.0,213.0,0,0,1,36.0,800.0,0,As new,3849.7652582159626,Brussels
9478,20057365,1200,810000,apartment,3.0,141.0,0,0,1,11.0,,0,As new,5744.68085106383,Brussels
