Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition,Price per m²,Region
0,20245694,9550,198800,house,3.0,125.0,0,0,1,45.0,106.0,0,To renovate,1590.4,Flanders
1,20246399,2170,349000,house,3.0,193.0,1,0,1,,53.0,0,To be done up,1808.2901554404145,Flanders
3,20245396,9620,349000,house,4.0,237.0,0,0,1,16.0,390.0,0,To renovate,1472.5738396624472,Flanders
5,20244275,8500,455000,house,4.0,187.0,1,0,1,,100.0,0,Good,2433.1550802139036,Flanders
6,20244687,9860,455000,house,3.0,147.0,0,0,1,16.0,77.0,0,Just renovated,3095.2380952380954,Flanders
12,20244971,9000,345000,house,4.0,145.0,0,0,1,,38.0,0,Good,2379.310344827586,Flanders
13,20244971,9000,345000,house,4.0,145.0,0,0,1,,38.0,0,Good,2379.310344827586,Flanders
14,20244012,9772,250000,house,3.0,141.0,0,0,1,,300.0,0,To renovate,1773.049645390071,Flanders
17,20243204,9030,620000,house,4.0,265.0,0,0,1,30.0,478.0,0,Good,2339.622641509434,Flanders
18,20246112,9600,125000,house,3.0,134.0,0,0,1,,,0,To renovate,932.8358208955224,Flanders
21,20246074,8800,339000,house,3.0,164.0,1,0,1,15.0,40.0,0,Good,2067.0731707317073,Flanders
22,20245426,1630,375000,house,4.0,315.0,1,0,1,40.0,365.0,0,To be done up,1190.4761904761904,Flanders
23,20246456,8750,399000,house,3.0,322.0,1,0,1,40.0,,0,Just renovated,1239.1304347826087,Flanders
24,20245846,2580,429000,house,3.0,272.0,0,0,1,,,0,Good,1577.2058823529412,Flanders
26,20221782,2100,284000,house,3.0,89.0,0,0,1,3.0,97.0,0,To be done up,3191.0112359550562,Flanders
29,20246513,8670,610000,house,4.0,354.0,0,0,1,,448.0,0,As new,1723.1638418079096,Flanders
30,20226343,8300,3700000,house,3.0,127.0,1,0,1,,,0,To renovate,29133.858267716536,Flanders
33,20238309,9750,275000,house,3.0,175.0,0,0,1,,,0,To renovate,1571.4285714285713,Flanders
35,20240822,2940,399000,house,5.0,156.0,1,0,1,,,0,Good,2557.6923076923076,Flanders
36,20241991,9770,1050000,house,5.0,450.0,1,0,1,,,0,Good,2333.3333333333335,Flanders
38,20241006,9890,1190000,house,4.0,387.0,0,0,1,,,0,To be done up,3074.9354005167957,Flanders
39,20220249,9340,179000,house,2.0,91.0,0,0,1,13.0,52.0,0,To be done up,1967.032967032967,Flanders
42,20229718,8870,295000,house,3.0,165.0,0,0,1,,,0,To renovate,1787.878787878788,Flanders
43,20231048,2160,339000,house,2.0,152.0,1,0,1,,,0,To be done up,2230.2631578947367,Flanders
45,20229744,3800,465000,house,7.0,314.0,1,0,1,,100.0,0,Good,1480.8917197452229,Flanders
47,20222301,2580,475000,house,3.0,186.0,1,0,1,,,0,Good,2553.7634408602153,Flanders
51,20240589,9080,449000,house,4.0,240.0,0,0,1,,450.0,0,To renovate,1870.8333333333333,Flanders
52,20232614,2845,495000,house,4.0,175.0,0,0,1,,,0,Good,2828.5714285714284,Flanders
53,20235941,9620,575000,house,3.0,255.0,0,0,1,,,0,Good,2254.901960784314,Flanders
