Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition,Price per m²,Region
1737,20206578,4140,999999,house,13.0,778.0,1,0,1,443.0,,0,Good,1285.3457583547558,Wallonia
4093,11397487,1380,990000,house,3.0,256.0,0,0,1,50.0,1100.0,1,As new,3867.1875,Wallonia
1548,20231363,7322,990000,house,5.0,436.0,0,1,1,,3600.0,1,As new,2270.6422018348626,Wallonia
2081,20204441,1380,980000,house,6.0,343.0,0,0,1,,,0,To be done up,2857.1428571428573,Wallonia
4573,20197380,4900,979000,house,4.0,300.0,1,0,1,,,0,As new,3263.3333333333335,Wallonia
134,20236655,1410,975000,house,7.0,465.0,0,0,1,,477.0,0,Good,2096.7741935483873,Wallonia
135,20236653,1420,975000,house,7.0,465.0,0,0,1,,477.0,0,Good,2096.7741935483873,Wallonia
2703,11474182,1341,975000,house,5.0,452.0,1,0,1,71.0,7043.0,0,Good,2157.079646017699,Wallonia
4752,11389828,6700,975000,house,5.0,506.0,1,0,1,,,0,Good,1926.8774703557312,Wallonia
3111,20200985,6700,975000,house,7.0,370.0,0,0,1,40.0,1000.0,0,As new,2635.135135135135,Wallonia
2792,20132489,4053,970000,house,4.0,305.0,1,0,1,20.0,1060.0,1,As new,3180.3278688524592,Wallonia
5025,20162378,1495,950000,house,4.0,278.0,0,0,1,81.0,2950.0,1,As new,3417.26618705036,Wallonia
4523,20233240,1410,945000,house,6.0,265.0,0,0,1,,2223.0,0,Good,3566.0377358490564,Wallonia
2702,20014998,4960,945000,house,5.0,287.0,1,0,1,51.0,3000.0,0,As new,3292.682926829268,Wallonia
4228,20228817,5070,935000,house,8.0,420.0,1,0,1,,,1,Just renovated,2226.190476190476,Wallonia
2791,11467907,1341,925000,house,5.0,282.0,0,0,1,91.0,1831.0,1,As new,3280.1418439716313,Wallonia
355,20182416,1301,920000,house,4.0,320.0,1,0,1,40.0,,0,Good,2875.0,Wallonia
3926,11303978,1300,899000,house,6.0,300.0,1,0,1,50.0,1500.0,0,Good,2996.6666666666665,Wallonia
1967,20144590,1480,899000,house,6.0,500.0,0,0,1,,,0,Good,1798.0,Wallonia
1966,20144595,1440,899000,house,6.0,500.0,0,0,1,,,0,Good,1798.0,Wallonia
2498,20246410,6250,899000,house,4.0,276.0,0,0,1,51.0,4595.0,0,As new,3257.246376811594,Wallonia
3884,20117366,1420,890000,house,3.0,350.0,0,0,1,,1500.0,0,Good,2542.8571428571427,Wallonia
1085,20211945,1420,890000,house,3.0,300.0,0,0,1,53.0,1500.0,0,Good,2966.6666666666665,Wallonia
4749,20109131,6717,850000,house,4.0,290.0,1,0,1,35.0,1400.0,1,Good,2931.0344827586205,Wallonia
4748,11098159,1400,845000,house,12.0,505.0,0,0,1,,,0,To renovate,1673.2673267326732,Wallonia
5041,20199261,1340,845000,house,5.0,300.0,0,0,1,40.0,,0,As new,2816.6666666666665,Wallonia
3880,20061534,1300,845000,house,3.0,170.0,1,0,1,60.0,500.0,1,Good,4970.588235294118,Wallonia
4521,20232469,1420,800000,house,3.0,280.0,0,0,1,,,0,Good,2857.1428571428573,Wallonia
3675,11482692,6700,799000,house,7.0,344.0,1,0,1,77.0,,0,Good,2322.6744186046512,Wallonia
3674,11482691,6700,799000,house,7.0,344.0,1,0,1,,,0,Good,2322.6744186046512,Wallonia
3399,20202285,7890,795000,house,6.0,550.0,1,0,1,,,0,Good,1445.4545454545455,Wallonia
3872,20127506,1340,795000,house,4.0,220.0,0,0,1,,,0,As new,3613.6363636363635,Wallonia
3366,11404357,4180,790000,house,4.0,400.0,1,0,1,,10765.0,0,As new,1975.0,Wallonia
3367,11334861,4841,790000,house,5.0,547.0,1,0,1,,1000.0,0,To be done up,1444.2413162705668,Wallonia
3947,20215089,5570,785000,house,8.0,492.0,0,0,1,,2100.0,1,Just renovated,1595.5284552845528,Wallonia
5177,20112202,6780,775000,house,5.0,191.0,1,0,1,25.0,2200.0,0,Good,4057.5916230366493,Wallonia
2786,20011755,4671,775000,house,5.0,329.0,1,0,1,80.0,4800.0,1,Good,2355.6231003039516,Wallonia
2180,11337312,4000,765000,house,5.0,395.0,0,0,1,19.0,2500.0,0,Good,1936.7088607594937,Wallonia
2697,20147925,1470,750000,house,7.0,300.0,1,0,1,,,0,Good,2500.0,Wallonia
3574,20068351,4601,750000,house,8.0,433.0,1,0,1,,4978.0,0,Good,1732.1016166281754,Wallonia
2785,20070356,4052,750000,house,4.0,350.0,0,0,1,50.0,900.0,0,As new,2142.8571428571427,Wallonia
3545,20215064,7910,749000,house,6.0,400.0,1,0,1,,,0,Just renovated,1872.5,Wallonia
2968,20159195,5031,749000,house,5.0,272.0,1,0,1,,518.0,0,As new,2753.676470588235,Wallonia
2118,20246093,1325,730000,house,5.0,300.0,1,0,1,50.0,3331.0,0,Good,2433.3333333333335,Wallonia
3814,20235251,1320,700000,house,4.0,300.0,0,0,1,70.0,1200.0,1,As new,2333.3333333333335,Wallonia
3763,20200612,5100,700000,house,4.0,215.0,1,0,1,40.0,780.0,1,Good,3255.813953488372,Wallonia
1547,20230411,7863,699000,house,4.0,284.0,0,0,1,,8400.0,0,Just renovated,2461.2676056338028,Wallonia
3727,20202531,4120,699000,house,4.0,227.0,1,0,1,,,1,Good,3079.295154185022,Wallonia
1593,20206266,4340,699000,house,5.0,295.0,1,0,1,40.0,324.0,0,As new,2369.491525423729,Wallonia
1700,20232344,1380,695000,house,3.0,145.0,0,0,1,,,0,As new,4793.103448275862,Wallonia
3150,20139589,4557,695000,house,4.0,181.0,1,0,1,9.0,5743.0,0,Good,3839.779005524862,Wallonia
10330,20056484,4000,695000,apartment,3.0,192.0,0,0,1,100.0,,0,As new,3619.7916666666665,Wallonia
3485,20152610,1300,695000,house,9.0,420.0,1,0,1,,,0,Good,1654.7619047619048,Wallonia
